ax_left,ay_left,az_left,wx_left,wy_left,wz_left,ax_right,ay_right,az_right,wx_right,wy_right,wz_right,id,time,person
0.465,-0.573,1.305,-31.921,22.034,-40.955,0.762,0.497,1.438,13.184,-17.944,45.898,67,68,Vlad
0.503,-0.509,1.354,-36.499,9.827,-36.438,0.787,0.504,1.464,17.822,-19.592,44.556,67,69,Vlad
0.642,-0.495,1.329,-50.232,-9.766,-36.743,0.787,0.482,1.468,23.621,-13.611,46.997,67,70,Vlad
0.525,-0.553,1.188,-59.448,4.333,-27.954,0.789,0.484,1.503,27.954,-9.888,47.18,67,71,Vlad
0.526,-0.578,1.278,-57.251,-1.465,-31.128,0.896,0.47,1.475,29.663,-5.31,49.438,67,72,Vlad
0.595,-0.498,1.357,-61.523,-5.615,-24.109,0.847,0.52,1.507,31.128,-5.066,47.302,67,73,Vlad
0.678,-0.495,1.303,-67.078,6.042,-27.832,0.854,0.43,1.518,32.166,-4.944,45.044,67,74,Vlad
0.596,-0.456,1.317,-54.382,9.216,-22.278,0.83,0.411,1.567,28.198,-7.996,41.504,67,75,Vlad
0.783,-0.35,1.386,-52.551,-6.165,-21.729,0.934,0.388,1.549,23.438,-13.0,41.382,67,76,Vlad
0.75,-0.45,1.239,-45.654,-16.174,-18.738,0.823,0.384,1.541,17.395,-10.132,39.063,67,77,Vlad
0.67,-0.465,1.273,-33.997,-36.987,-28.32,0.856,0.365,1.568,13.306,-6.836,38.147,67,78,Vlad
0.624,-0.406,1.375,-26.733,-41.87,-22.827,0.833,0.37,1.592,7.751,-15.93,35.278,67,79,Vlad
0.629,-0.359,1.326,-22.156,-20.874,-23.193,0.879,0.306,1.6,9.338,-22.949,31.311,67,80,Vlad
0.628,-0.367,1.31,-19.592,-26.306,-25.818,0.815,0.281,1.611,11.23,-25.33,28.564,67,81,Vlad
0.572,-0.323,1.284,-18.86,-27.466,-16.479,0.821,0.271,1.552,16.907,-25.818,28.687,67,82,Vlad
0.532,-0.351,1.283,-20.386,-31.128,-11.23,0.809,0.287,1.525,22.522,-30.212,26.978,67,83,Vlad
0.563,-0.339,1.287,-26.428,-29.236,-13.55,0.788,0.269,1.521,29.846,-30.029,26.672,67,84,Vlad
0.543,-0.287,1.206,-35.339,-27.588,-9.399,0.762,0.232,1.506,37.415,-28.198,27.1,67,85,Vlad
