Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X	Magnetic field Y	Magnetic field Z	Temperature()	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
22:35:13.373	COM3_115200	2000-0-0 0:25:53.665	0,423	-0,913	1,537	-25,879	34,485	-18,860	-42,786	-17,556	-171,271	-21,967	142,817	-0,233	38,71															
22:35:13.373	COM3_115200	2000-0-0 0:25:53.685	0,360	-0,916	1,582	-18,433	9,155	-7,813	-42,907	-17,309	-171,766	-22,583	142,708	0,200	38,68															
22:35:13.389	COM8_115200	2000-0-0 0:31:4.870	0,527	0,796	1,592	11,169	-0,366	14,221	36,584	-31,212	-52,850	-48,158	62,258	41,300	35,97															
22:35:13.389	COM3_115200	2000-0-0 0:25:53.705	0,329	-0,870	1,700	-12,512	-0,244	-7,263	-42,973	-17,309	-171,909	-23,100	142,625	0,725	38,71															
22:35:13.404	COM8_115200	2000-0-0 0:31:4.890	0,439	0,826	1,596	9,155	-7,568	10,620	36,579	-31,240	-52,608	-48,158	62,258	41,300	35,96															
22:35:13.404	COM3_115200	2000-0-0 0:25:53.725	0,377	-0,899	1,650	-7,813	5,371	-10,864	-42,929	-17,303	-172,128	-23,567	142,508	1,308	38,73															
22:35:13.435	COM8_115200	2000-0-0 0:31:4.910	0,446	0,785	1,599	7,202	-4,211	9,949	36,552	-31,245	-52,443	-48,158	62,258	41,300	36,04															
22:35:13.435	COM3_115200	2000-0-0 0:25:53.745	0,365	-0,890	1,620	-4,761	9,155	-9,460	-42,786	-17,243	-172,430	-23,933	142,450	1,733	38,73															
22:35:13.451	COM8_115200	2000-0-0 0:31:4.930	0,447	0,742	1,598	7,813	0,732	12,573	36,464	-31,185	-52,180	-48,158	62,258	41,300	35,98															
22:35:13.451	COM3_115200	2000-0-0 0:25:53.765	0,359	-0,797	1,647	-2,991	4,395	-8,667	-42,610	-17,188	-172,683	-24,283	142,350	2,000	38,76															
22:35:13.467	COM3_115200	2000-0-0 0:25:53.785	0,342	-0,764	1,647	-3,784	5,493	-7,751	-42,446	-17,150	-172,897	-24,583	142,283	2,217	38,69															
22:35:13.467	COM8_115200	2000-0-0 0:31:4.950	0,444	0,752	1,603	9,277	0,000	15,320	36,359	-31,141	-51,833	-48,158	62,258	41,300	35,98															
22:35:13.498	COM3_115200	2000-0-0 0:25:53.805	0,387	-0,759	1,666	-4,761	3,723	-11,719	-42,275	-17,128	-173,139	-24,858	142,192	2,550	38,67															
22:35:13.498	COM8_115200	2000-0-0 0:31:4.970	0,448	0,754	1,615	10,803	-1,343	16,235	36,282	-31,146	-51,476	-48,158	62,258	41,300	35,97															
22:35:13.513	COM8_115200	2000-0-0 0:31:4.990	0,451	0,748	1,627	11,963	-0,122	16,968	36,211	-31,157	-51,108	-48,158	62,258	41,300	36,04															
22:35:13.513	COM3_115200	2000-0-0 0:25:53.825	0,374	-0,805	1,629	-7,263	-0,793	-13,062	-42,155	-17,210	-173,381	-25,200	142,067	2,642	38,78															
22:35:13.529	COM8_115200	2000-0-0 0:31:5.010	0,474	0,757	1,599	15,442	0,916	19,043	36,161	-31,152	-50,685	-48,158	62,258	41,300	36,03															
22:35:13.529	COM3_115200	2000-0-0 0:25:53.845	0,323	-0,788	1,658	-10,864	-3,174	-12,024	-42,105	-17,342	-173,557	-25,550	142,033	2,725	38,73															
22:35:13.545	COM8_115200	2000-0-0 0:31:5.030	0,486	0,795	1,580	18,555	2,625	18,494	36,172	-31,152	-50,246	-48,158	62,258	41,300	36,02															
22:35:13.560	COM3_115200	2000-0-0 0:25:53.865	0,355	-0,797	1,660	-16,235	-4,700	-11,353	-42,166	-17,485	-173,699	-25,883	141,967	2,858	38,77															
22:35:13.560	COM8_115200	2000-0-0 0:31:5.050	0,485	0,779	1,566	21,362	6,042	17,334	36,233	-31,080	-49,779	-48,158	62,258	41,300	35,99															
22:35:13.576	COM3_115200	2000-0-0 0:25:53.885	0,373	-0,799	1,648	-21,362	-3,479	-12,329	-42,319	-17,628	-173,853	-26,217	141,800	3,142	38,71															
22:35:13.592	COM8_115200	2000-0-0 0:31:5.070	0,433	0,761	1,567	26,184	12,085	14,954	36,354	-30,916	-49,296	-48,158	62,258	41,300	36,01															
22:35:13.607	COM3_115200	2000-0-0 0:25:53.905	0,324	-0,795	1,631	-28,015	-3,784	-12,512	-42,589	-17,765	-174,012	-26,483	141,733	3,558	38,73															
22:35:13.607	COM8_115200	2000-0-0 0:31:5.090	0,502	0,776	1,536	28,381	15,991	14,160	36,530	-30,663	-48,779	-48,158	62,258	41,300	35,97															
22:35:13.607	COM3_115200	2000-0-0 0:25:53.925	0,365	-0,747	1,629	-40,161	2,747	-15,747	-43,011	-17,875	-174,282	-26,817	141,625	4,050	38,68															
22:35:13.623	COM8_115200	2000-0-0 0:31:5.110	0,480	0,717	1,549	31,433	15,747	14,160	36,755	-30,405	-48,246	-48,158	62,258	41,300	36,04															
22:35:13.638	COM3_115200	2000-0-0 0:25:53.945	0,361	-0,717	1,600	-52,368	5,737	-13,123	-43,671	-17,930	-174,584	-27,208	141,400	4,742	38,76															
22:35:13.660	COM8_115200	2000-0-0 0:31:5.130	0,499	0,702	1,550	37,781	26,611	15,320	37,018	-30,031	-47,587	-48,158	62,258	41,300	36,00															
