Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
03:18:33.226	COM8_115200	2000-0-0 1:30:20.920	0,187	0,980	1,826	2,502	-0,244	0,000	28,070	-5,740	-151,194				37,17															
03:18:33.233	COM3_115200	2000-0-0 1:32:40.705	-0,322	0,928	1,729	2,747	1,465	0,427	28,130	8,427	46,642				39,88															
03:18:33.249	COM8_115200	2000-0-0 1:30:20.940	0,174	0,979	1,826	2,502	0,305	0,244	28,120	-5,729	-151,194				37,11															
03:18:33.253	COM3_115200	2000-0-0 1:32:40.725	-0,296	0,930	1,725	2,930	0,671	0,977	28,185	8,448	46,664				39,85															
03:18:33.266	COM8_115200	2000-0-0 1:30:20.960	0,183	0,979	1,823	2,747	0,916	0,305	28,169	-5,707	-151,183				37,20															
03:18:33.289	COM3_115200	2000-0-0 1:32:40.745	-0,296	0,926	1,722	2,441	0,793	1,099	28,240	8,454	46,692				39,88															
03:18:33.298	COM8_115200	2000-0-0 1:30:20.980	0,187	0,971	1,821	2,136	0,427	-0,549	28,213	-5,691	-151,177				37,17															
03:18:33.308	COM8_115200	2000-0-0 1:30:21.000	0,187	0,963	1,820	1,831	0,549	-0,549	28,251	-5,669	-151,188				37,08															
03:18:33.315	COM3_115200	2000-0-0 1:32:40.765	-0,303	0,917	1,721	1,587	1,221	1,099	28,284	8,465	46,725				39,79															
03:18:33.315	COM3_115200	2000-0-0 1:32:40.785	-0,308	0,914	1,722	1,587	1,404	0,732	28,312	8,498	46,752				39,85															
03:18:33.333	COM8_115200	2000-0-0 1:30:21.020	0,190	0,966	1,823	1,770	0,610	-0,061	28,284	-5,647	-151,183				37,23															
03:18:33.348	COM3_115200	2000-0-0 1:32:40.805	-0,299	0,913	1,720	1,709	0,916	0,183	28,345	8,520	46,769				39,88															
03:18:33.348	COM3_115200	2000-0-0 1:32:40.825	-0,301	0,922	1,714	1,770	-0,305	0,183	28,378	8,520	46,769				39,79															
03:18:33.357	COM8_115200	2000-0-0 1:30:21.040	0,176	0,971	1,819	1,831	0,366	0,061	28,317	-5,630	-151,183				37,33															
03:18:33.365	COM8_115200	2000-0-0 1:30:21.060	0,189	0,980	1,817	1,953	0,122	0,244	28,356	-5,625	-151,177				37,17															
03:18:33.375	COM3_115200	2000-0-0 1:32:40.845	-0,291	0,928	1,711	1,465	-0,183	0,244	28,405	8,520	46,769				39,79															
03:18:33.392	COM3_115200	2000-0-0 1:32:40.865	-0,298	0,930	1,712	1,282	0,000	0,366	28,427	8,514	46,780				39,85															
03:18:33.394	COM8_115200	2000-0-0 1:30:21.080	0,188	0,970	1,816	1,709	-0,610	0,000	28,389	-5,625	-151,183				37,33															
03:18:33.414	COM8_115200	2000-0-0 1:30:21.100	0,188	0,976	1,812	1,465	-0,793	-0,305	28,416	-5,636	-151,188				37,30															
03:18:33.424	COM3_115200	2000-0-0 1:32:40.885	-0,305	0,923	1,718	1,404	-0,244	-0,183	28,455	8,514	46,774				39,82															
03:18:33.429	COM8_115200	2000-0-0 1:30:21.120	0,185	0,971	1,815	1,770	-0,427	-0,488	28,444	-5,636	-151,205				37,33															
03:18:33.446	COM8_115200	2000-0-0 1:30:21.140	0,187	0,970	1,817	1,404	-0,671	-0,305	28,477	-5,641	-151,216				37,23															
03:18:33.447	COM3_115200	2000-0-0 1:32:40.905	-0,304	0,918	1,716	1,404	-0,183	-0,305	28,477	8,514	46,769				39,95															
03:18:33.452	COM3_115200	2000-0-0 1:32:40.925	-0,301	0,908	1,721	1,404	-0,061	-0,549	28,499	8,520	46,758				39,92															
03:18:33.468	COM8_115200	2000-0-0 1:30:21.160	0,187	0,966	1,811	1,038	-0,793	0,183	28,493	-5,647	-151,227				37,23															
03:18:33.468	COM3_115200	2000-0-0 1:32:40.945	-0,303	0,911	1,722	2,014	-0,183	-0,916	28,531	8,531	46,747				39,85															
03:18:33.484	COM8_115200	2000-0-0 1:30:21.180	0,183	0,971	1,815	0,854	-0,854	0,244	28,510	-5,658	-151,227				37,23															
03:18:33.493	COM3_115200	2000-0-0 1:32:40.965	-0,306	0,919	1,719	1,648	1,221	-1,038	28,559	8,553	46,730				39,82															
03:18:33.513	COM8_115200	2000-0-0 1:30:21.200	0,185	0,971	1,817	0,671	-0,610	0,183	28,521	-5,663	-151,227				37,27															
03:18:33.525	COM8_115200	2000-0-0 1:30:21.220	0,176	0,968	1,817	0,854	0,122	0,732	28,526	-5,663	-151,216				37,23															
03:18:33.525	COM3_115200	2000-0-0 1:32:40.985	-0,304	0,921	1,719	1,343	1,404	-0,854	28,581	8,586	46,725				39,92															
03:18:33.546	COM3_115200	2000-0-0 1:32:41.005	-0,316	0,914	1,725	1,465	1,648	-1,282	28,603	8,619	46,719				39,88															
03:18:33.551	COM8_115200	2000-0-0 1:30:21.240	0,176	0,972	1,819	1,343	0,305	0,732	28,542	-5,669	-151,205				37,27															
03:18:33.558	COM3_115200	2000-0-0 1:32:41.025	-0,308	0,919	1,718	1,892	1,282	-1,831	28,630	8,668	46,708				39,73															
03:18:33.574	COM8_115200	2000-0-0 1:30:21.260	0,175	0,975	1,824	1,282	0,244	0,854	28,559	-5,669	-151,188				37,14															
03:18:33.578	COM3_115200	2000-0-0 1:32:41.045	-0,312	0,930	1,724	2,197	0,488	-1,221	28,669	8,696	46,686				39,82															
03:18:33.586	COM8_115200	2000-0-0 1:30:21.280	0,199	0,980	1,821	1,404	0,000	1,038	28,581	-5,669	-151,172				37,30															
03:18:33.597	COM3_115200	2000-0-0 1:32:41.065	-0,305	0,921	1,724	1,953	1,648	-0,305	28,696	8,729	46,692				39,85															
03:18:33.605	COM8_115200	2000-0-0 1:30:21.300	0,190	0,967	1,817	2,014	0,488	1,465	28,603	-5,674	-151,150				37,20															
03:18:33.611	COM3_115200	2000-0-0 1:32:41.085	-0,299	0,918	1,720	2,075	2,441	-1,099	28,729	8,773	46,697				39,82															
03:18:33.625	COM8_115200	2000-0-0 1:30:21.320	0,178	0,980	1,821	2,869	0,610	0,488	28,647	-5,674	-151,128				37,20															
03:18:33.637	COM3_115200	2000-0-0 1:32:41.105	-0,304	0,918	1,718	2,563	1,038	-1,099	28,773	8,811	46,692				39,76															
03:18:33.647	COM8_115200	2000-0-0 1:30:21.340	0,194	0,976	1,824	2,563	-0,793	-0,671	28,696	-5,663	-151,133				37,33															
03:18:33.713	COM8_115200	2000-0-0 1:30:21.360	0,194	0,979	1,817	2,441	-0,305	-0,671	28,740	-5,658	-151,155				37,36															
03:18:33.714	COM8_115200	2000-0-0 1:30:21.380	0,179	0,969	1,818	3,174	-0,061	0,549	28,795	-5,658	-151,155				37,23															
03:18:33.716	COM8_115200	2000-0-0 1:30:21.400	0,172	0,961	1,820	3,540	0,305	1,892	28,856	-5,658	-151,128				37,14															
03:18:33.719	COM3_115200	2000-0-0 1:32:41.125	-0,335	0,916	1,720	2,563	1,526	-0,610	28,812	8,844	46,686				39,79															
03:18:33.720	COM3_115200	2000-0-0 1:32:41.145	-0,308	0,910	1,723	3,235	1,892	-0,793	28,867	8,893	46,703				39,98															
03:18:33.733	COM8_115200	2000-0-0 1:30:21.420	0,174	0,969	1,819	3,601	0,549	1,831	28,911	-5,658	-151,089				37,14															
03:18:33.733	COM3_115200	2000-0-0 1:32:41.165	-0,312	0,903	1,714	3,967	4,089	-1,343	28,927	8,954	46,708				39,76															
03:18:33.733	COM3_115200	2000-0-0 1:32:41.185	-0,308	0,914	1,711	4,333	1,465	-0,916	28,998	9,014	46,714				39,88															
03:18:33.734	COM3_115200	2000-0-0 1:32:41.205	-0,302	0,917	1,700	3,540	0,977	-0,610	29,059	9,047	46,714				39,82															
03:18:33.745	COM8_115200	2000-0-0 1:30:21.440	0,175	0,970	1,814	3,418	-1,709	1,404	28,965	-5,680	-151,068				37,33															
03:18:33.757	COM3_115200	2000-0-0 1:32:41.225	-0,307	0,919	1,702	2,930	0,916	-0,549	29,114	9,069	46,714				39,82															
03:18:33.789	COM8_115200	2000-0-0 1:30:21.460	0,199	0,962	1,815	4,028	-3,967	1,526	29,031	-5,729	-151,068				37,27															
03:18:33.790	COM3_115200	2000-0-0 1:32:41.245	-0,326	0,912	1,700	2,502	0,366	-1,526	29,152	9,091	46,697				39,79															
03:18:33.792	COM3_115200	2000-0-0 1:32:41.265	-0,318	0,904	1,701	3,235	-1,404	-2,869	29,191	9,108	46,659				39,82															
03:18:33.799	COM8_115200	2000-0-0 1:30:21.480	0,190	0,967	1,815	4,395	-3,967	2,747	29,103	-5,812	-151,068				37,23															
03:18:33.806	COM8_115200	2000-0-0 1:30:21.500	0,170	0,960	1,811	4,761	-3,296	3,723	29,185	-5,900	-151,046				37,30															
03:18:33.816	COM3_115200	2000-0-0 1:32:41.285	-0,308	0,913	1,703	4,089	-2,319	-1,587	29,246	9,091	46,599				39,79															
