Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
21:20:09.305	COM8	2000-0-0 16:21:46.335	0,211	0,898	2,330	37,231	-7,263	-28,442	22,566	-5,944	-156,808				38,72															
21:20:09.321	COM3	2000-0-0 16:24:4.095	0,376	-0,882	2,343	-17,212	-19,348	27,344	-21,967	-4,186	-76,718	3,875	72,433	31,550	41,15															
21:20:09.325	COM8	2000-0-0 16:21:46.355	0,337	0,894	2,228	38,879	-14,099	-27,832	23,412	-5,966	-157,440				38,78															
21:20:09.342	COM3	2000-0-0 16:24:4.115	0,462	-0,833	2,326	-13,977	-5,676	23,682	-22,275	-4,252	-76,152	3,875	72,433	31,550	41,18															
21:20:09.348	COM3	2000-0-0 16:24:4.135	0,428	-0,829	2,355	-12,878	-7,141	18,433	-22,533	-4,274	-75,740	3,875	72,433	31,550	41,15															
21:20:09.352	COM8	2000-0-0 16:21:46.375	0,237	0,819	2,264	32,043	-3,235	-20,142	24,115	-5,927	-157,928				38,72															
21:20:09.384	COM8	2000-0-0 16:21:46.395	0,321	0,883	2,252	25,024	2,075	-13,672	24,675	-5,773	-158,192				38,65															
21:20:09.394	COM3	2000-0-0 16:24:4.155	0,378	-0,823	2,310	-14,221	-15,076	18,311	-22,819	-4,400	-75,306	3,875	72,433	31,550	41,15															
21:20:09.395	COM3	2000-0-0 16:24:4.175	0,367	-0,841	2,262	-11,230	-22,827	16,785	-23,077	-4,719	-74,811	3,875	72,433	31,550	41,18															
21:20:09.417	COM8	2000-0-0 16:21:46.415	0,292	0,899	2,246	17,090	-1,099	-9,338	25,054	-5,724	-158,395				38,78															
21:20:09.418	COM8	2000-0-0 16:21:46.435	0,303	0,918	2,207	11,169	-0,427	-5,920	25,313	-5,691	-158,538				38,69															
21:20:09.423	COM3	2000-0-0 16:24:4.195	0,388	-0,843	2,337	-2,747	-22,888	12,878	-23,181	-5,048	-74,366	3,875	72,433	31,550	41,15															
21:20:09.426	COM3	2000-0-0 16:24:4.215	0,425	-0,863	2,438	-0,366	-48,096	11,230	-23,198	-5,707	-73,856	3,875	72,433	31,550	41,08															
21:20:09.430	COM8	2000-0-0 16:21:46.455	0,299	0,910	2,190	6,897	0,549	-4,272	25,444	-5,663	-158,626				38,69															
21:20:09.443	COM8	2000-0-0 16:21:46.475	0,313	0,907	2,218	2,686	0,244	-3,357	25,488	-5,641	-158,698				38,72															
21:20:09.455	COM3	2000-0-0 16:24:4.235	0,403	-0,789	2,356	-3,479	-61,707	10,986	-23,275	-6,718	-73,180	3,875	72,433	31,550	41,11															
21:20:09.463	COM8	2000-0-0 16:21:46.495	0,235	0,911	2,206	2,563	5,066	-2,319	25,488	-5,576	-158,719				38,75															
21:20:09.475	COM3	2000-0-0 16:24:4.255	0,416	-0,796	2,164	-4,211	-56,641	7,568	-23,401	-7,800	-72,515	3,875	72,433	31,550	41,05															
21:20:09.484	COM8	2000-0-0 16:21:46.515	0,265	0,929	2,164	3,601	4,150	-2,563	25,510	-5,488	-158,719				38,69															
21:20:09.489	COM3	2000-0-0 16:24:4.275	0,449	-0,794	2,041	7,263	-18,677	3,174	-23,346	-8,377	-72,153	3,875	72,433	31,550	41,18															
21:20:09.504	COM8	2000-0-0 16:21:46.535	0,276	0,906	2,166	3,113	6,531	-4,272	25,543	-5,383	-158,752				38,65															
21:20:09.508	COM3	2000-0-0 16:24:4.295	0,496	-0,830	2,247	12,390	-10,986	-1,648	-23,077	-8,591	-72,092	3,875	72,433	31,550	41,05															
21:20:09.523	COM8	2000-0-0 16:21:46.555	0,276	0,918	2,178	2,136	7,935	-1,953	25,554	-5,246	-158,741				38,72															
21:20:09.528	COM3	2000-0-0 16:24:4.315	0,423	-0,843	2,300	-0,854	-17,090	-2,441	-22,967	-8,910	-72,004	3,875	72,433	31,550	41,11															
21:20:09.545	COM8	2000-0-0 16:21:46.575	0,249	0,949	2,177	0,183	10,681	-0,427	25,521	-5,070	-158,665				38,56															
21:20:09.554	COM3	2000-0-0 16:24:4.335	0,441	-0,837	2,153	-4,395	-15,747	-2,136	-23,027	-9,229	-71,917	3,875	72,433	31,550	41,08															
21:20:09.569	COM8	2000-0-0 16:21:46.595	0,271	0,968	2,197	-0,122	5,737	-1,831	25,483	-4,944	-158,621				38,69															
21:20:09.574	COM3	2000-0-0 16:24:4.355	0,448	-0,859	2,095	0,977	-5,859	-2,014	-23,038	-9,454	-71,867	3,875	72,433	31,550	41,11															
21:20:09.587	COM3	2000-0-0 16:24:4.375	0,433	-0,844	2,179	5,249	4,395	-5,798	-22,917	-9,481	-71,955	3,875	72,433	31,550	41,18															
21:20:09.588	COM8	2000-0-0 16:21:46.615	0,289	0,946	2,202	0,549	5,249	-2,441	25,461	-4,856	-158,621				38,75															
21:20:09.604	COM8	2000-0-0 16:21:46.635	0,292	0,929	2,207	0,854	9,521	-1,587	25,439	-4,719	-158,588				38,84															
21:20:09.608	COM3	2000-0-0 16:24:4.395	0,339	-0,806	2,350	3,662	-7,263	-5,798	-22,764	-9,536	-72,065	3,875	72,433	31,550	41,08															
21:20:09.623	COM8	2000-0-0 16:21:46.655	0,309	0,952	2,227	-0,366	6,470	-0,793	25,417	-4,587	-158,533				38,59															
21:20:09.628	COM3	2000-0-0 16:24:4.415	0,362	-0,799	2,342	2,380	-45,898	-5,737	-22,714	-10,146	-71,933	3,875	72,433	31,550	41,08															
21:20:09.645	COM8	2000-0-0 16:21:46.675	0,253	0,961	2,230	-2,014	2,075	-1,831	25,356	-4,526	-158,527				38,65															
21:20:09.655	COM3	2000-0-0 16:24:4.435	0,816	-0,806	2,307	7,996	-95,886	-7,874	-22,665	-11,591	-71,466	3,875	72,433	31,550	41,08															
21:20:09.675	COM3	2000-0-0 16:24:4.455	0,520	-0,782	2,195	1,160	-58,167	-10,315	-22,621	-13,315	-70,939	3,875	72,433	31,550	41,11															
21:20:09.679	COM8	2000-0-0 16:21:46.695	0,215	0,958	2,201	-1,221	-10,315	-4,272	25,307	-4,609	-158,626				38,72															
21:20:09.686	COM3	2000-0-0 16:24:4.475	0,333	-0,788	2,034	4,761	43,884	-3,723	-22,489	-13,030	-71,147	3,875	72,433	31,550	41,18															
21:20:09.699	COM8	2000-0-0 16:21:46.715	0,303	0,957	2,166	0,488	-25,574	-4,700	25,291	-4,944	-158,879				38,69															
21:20:09.704	COM8	2000-0-0 16:21:46.735	0,301	0,940	2,224	-1,465	-34,851	-3,784	25,263	-5,499	-159,247				38,75															
21:20:09.709	COM3	2000-0-0 16:24:4.495	0,486	-0,902	2,149	12,024	13,977	-3,906	-22,209	-12,546	-71,466	3,875	72,433	31,550	41,11															
21:20:09.725	COM3	2000-0-0 16:24:4.515	0,487	-0,791	2,263	14,893	17,639	-2,136	-21,852	-12,277	-71,609	3,875	72,433	31,550	41,21															
21:20:09.754	COM8	2000-0-0 16:21:46.755	0,250	0,954	2,194	0,366	-29,785	-0,488	25,280	-6,136	-159,582				38,81															
21:20:09.758	COM8	2000-0-0 16:21:46.775	0,206	0,911	2,203	1,404	-16,174	1,465	25,274	-6,498	-159,741				38,81															
21:20:09.763	COM3	2000-0-0 16:24:4.535	0,572	-0,861	2,354	12,512	4,822	-3,967	-21,528	-12,107	-71,757	3,875	72,433	31,550	41,11															
21:20:09.794	COM3	2000-0-0 16:24:4.555	0,430	-0,825	2,287	5,371	27,283	-1,160	-21,330	-11,777	-71,917	3,875	72,433	31,550	41,11															
21:20:09.795	COM3	2000-0-0 16:24:4.575	0,480	-0,873	2,208	4,456	26,917	-1,953	-21,187	-11,255	-72,175	3,875	72,433	31,550	41,11															
21:20:09.799	COM8	2000-0-0 16:21:46.795	0,271	0,954	2,210	-0,427	-27,710	3,601	25,280	-6,927	-159,873				38,72															
21:20:09.827	COM3	2000-0-0 16:24:4.595	0,517	-0,824	2,262	8,606	25,024	-3,784	-20,984	-10,800	-72,411	3,875	72,433	31,550	41,15															
21:20:09.828	COM3	2000-0-0 16:24:4.615	0,413	-0,845	2,336	7,568	23,560	-3,540	-20,775	-10,404	-72,664	3,875	72,433	31,550	41,15															
21:20:09.829	COM8	2000-0-0 16:21:46.815	0,267	0,929	2,197	1,221	-31,311	6,042	25,274	-7,520	-160,043				38,75															
21:20:09.830	COM8	2000-0-0 16:21:46.835	0,223	0,962	2,178	1,587	-20,996	7,568	25,302	-8,031	-160,131				38,75															
21:20:09.833	COM8	2000-0-0 16:21:46.855	0,276	0,950	2,163	3,601	-20,081	7,507	25,334	-8,421	-160,175				38,72															
21:20:09.849	COM8	2000-0-0 16:21:46.875	0,295	0,950	2,126	0,244	-20,142	8,606	25,345	-8,866	-160,225				38,69															
21:20:09.854	COM3	2000-0-0 16:24:4.635	0,425	-0,823	2,354	5,005	24,353	-3,113	-20,605	-9,981	-72,894	3,875	72,433	31,550	41,05															
21:20:09.865	COM3	2000-0-0 16:24:4.655	0,424	-0,826	2,293	7,874	23,804	-5,249	-20,435	-9,591	-73,147	3,875	72,433	31,550	41,05															
21:20:09.869	COM8	2000-0-0 16:21:46.895	0,221	0,939	2,156	-2,991	-4,761	11,169	25,269	-9,141	-160,131				38,78															
21:20:09.884	COM8	2000-0-0 16:21:46.915	0,238	0,951	2,187	-11,902	-5,432	14,038	25,049	-9,261	-159,911				38,72															
21:20:09.887	COM3	2000-0-0 16:24:4.675	0,370	-0,822	2,297	14,526	30,090	-8,728	-20,138	-9,113	-73,493	3,875	72,433	31,550	41,18															
21:20:09.910	COM8	2000-0-0 16:21:46.935	0,264	0,923	2,184	-18,982	-18,921	17,273	24,670	-9,608	-159,730				38,78															
21:20:09.918	COM3	2000-0-0 16:24:4.695	0,328	-0,822	2,368	19,592	13,794	-8,911	-19,737	-8,806	-73,801	3,875	72,433	31,550	41,08															
21:20:09.925	COM3	2000-0-0 16:24:4.715	0,253	-0,828	2,334	26,672	-1,160	-14,526	-19,232	-8,833	-74,064	3,875	72,433	31,550	41,02															
21:20:09.930	COM8	2000-0-0 16:21:46.955	0,290	0,898	2,180	-23,560	-17,822	21,606	24,192	-10,080	-159,532				38,75															
21:20:09.943	COM8	2000-0-0 16:21:46.975	0,259	0,877	2,243	-29,541	-8,484	27,344	23,571	-10,448	-159,159				38,69															
21:20:09.947	COM3	2000-0-0 16:24:4.735	0,323	-0,826	2,325	41,321	-20,691	-15,808	-18,501	-9,168	-74,284	3,875	72,433	31,550	41,08															
21:20:09.962	COM8	2000-0-0 16:21:46.995	0,235	0,917	2,286	-33,630	-15,686	30,090	22,830	-10,838	-158,698				38,75															
21:20:09.966	COM3	2000-0-0 16:24:4.755	0,390	-0,748	2,438	56,152	-41,077	-19,348	-17,496	-9,915	-74,399	3,875	72,433	31,550	41,15															
21:20:09.986	COM8	2000-0-0 16:21:47.015	0,310	0,880	2,208	-33,813	-26,245	30,579	22,083	-11,426	-158,313				38,78															
21:20:09.990	COM3	2000-0-0 16:24:4.775	0,529	-0,670	2,622	57,251	-49,683	-25,085	-16,298	-10,920	-74,575	3,875	72,433	31,550	41,15															
21:20:10.007	COM3	2000-0-0 16:24:4.795	0,451	-0,646	2,636	39,429	-63,049	-32,166	-15,326	-12,162	-74,822	3,875	72,433	31,550	41,08															
21:20:10.032	COM3	2000-0-0 16:24:4.815	0,286	-0,735	2,364	20,020	-64,392	-33,264	-14,766	-13,530	-75,135	3,875	72,433	31,550	41,15															
21:20:10.040	COM8	2000-0-0 16:21:47.035	0,310	0,813	2,182	-32,410	-21,057	35,828	21,346	-12,068	-157,863				38,75															
21:20:10.042	COM8	2000-0-0 16:21:47.055	0,283	0,869	2,239	-29,480	-11,475	43,274	20,594	-12,546	-157,181				38,65															
21:20:10.044	COM8	2000-0-0 16:21:47.075	0,332	0,917	2,209	-26,001	-11,658	46,082	19,896	-12,975	-156,390				38,72															
21:20:10.048	COM3	2000-0-0 16:24:4.835	0,485	-0,850	2,140	15,259	-79,529	-35,034	-14,403	-15,051	-75,449	3,875	72,433	31,550	40,99															
